iter	MultiClass
949	0.08773773603
950	0.0877255996
951	0.08772036456
952	0.08771191664
953	0.0876959492
954	0.08766749534
955	0.08765970993
956	0.08764985913
957	0.08763846362
958	0.08763077737
959	0.08762170327
960	0.08761207986
961	0.08760344179
962	0.08758881386
963	0.08757882247
964	0.08756130285
965	0.08755610271
966	0.08753884944
967	0.08750374956
968	0.08749093264
969	0.08747535947
970	0.08747192721
971	0.08746294403
972	0.08745411902
973	0.08744337734
974	0.08742401991
975	0.08741590282
976	0.0874106886
977	0.08740765593
978	0.08739534566
979	0.08737862633
980	0.08737190954
981	0.08736198181
982	0.08735075087
983	0.08733752264
984	0.08732842808
985	0.08731325947
986	0.08730344609
987	0.08728770837
988	0.08727302472
989	0.08726581402
990	0.08723848292
991	0.08723103674
992	0.0872262557
993	0.08721453604
994	0.08720840161
995	0.08720091562
996	0.08719584217
997	0.08718064968
998	0.08717415351
999	0.0871650306
